epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8102,1.45344,2.79699,1.16147,0.03341,0.98667,0.50184,0.27793,1.16591,2.70408,0.94518,0.00022,0.00022,0.00022
2,82.4961,1.07635,1.09226,0.98571,0.03099,0.99333,0.73915,0.46193,1.0937,2.52664,0.93787,0.00036892,0.00036892,0.00036892
3,123.129,0.97663,0.94952,0.96469,0.03119,0.99333,0.83158,0.64607,0.87222,2.31723,0.89783,0.0004228,0.0004228,0.0004228
4,164.126,0.91882,0.8595,0.95168,0.28831,0.94,0.87445,0.67745,0.81189,2.18629,0.87838,0.00038164,0.00038164,0.00038164
5,204.806,0.90656,0.83255,0.93362,0.94933,0.62451,0.9178,0.67566,0.98381,1.86091,0.89158,0.00024544,0.00024544,0.00024544
