epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.1651,1.29536,1.91057,1.23957,1,0.78437,0.98718,0.70626,0.86556,2.42925,1.03738,0.000650794,0.000650794,0.000650794
2,87.0912,0.97533,1.09627,1.03081,0.98809,0.98751,0.99357,0.70665,1.00189,1.53342,1.03219,0.0010566,0.0010566,0.0010566
3,145.166,0.88649,0.93268,1.00693,0.99925,0.89881,0.89518,0.67504,0.85171,1.05445,0.98655,0.00119841,0.00119841,0.00119841
4,208.856,0.89707,0.81827,0.99601,0.9898,0.63095,0.63486,0.5037,0.77038,0.88611,0.94784,0.000812,0.000812,0.000812
5,275.989,0.81056,0.72636,0.96865,0.99826,0.78571,0.78536,0.62755,0.69256,0.76385,0.92046,0.000416,0.000416,0.000416
