epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.06,1.10899,1.4966,1.04869,0.59019,0.58567,0.53971,0.39965,0.91976,2.02351,0.93233,0.000653061,0.000653061,0.000653061
2,353.796,0.8967,0.84926,0.9592,0.72505,0.84667,0.7454,0.56545,0.88073,1.15448,0.95798,0.00105842,0.00105842,0.00105842
3,528.915,0.85196,0.78616,0.94885,0.72667,0.86667,0.76018,0.59617,0.84856,0.94509,0.93471,0.00119978,0.00119978,0.00119978
4,701.198,0.79414,0.72517,0.93184,0.74733,0.86667,0.87503,0.71422,0.74891,0.82204,0.92504,0.000812,0.000812,0.000812
5,872.839,0.76739,0.70526,0.92715,0.77304,0.79333,0.8445,0.69644,0.73857,0.89558,0.90631,0.000416,0.000416,0.000416
