epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.2948,1.44826,2.09135,1.17106,0.03606,0.99888,0.6061,0.28122,1.11952,2.46591,0.97835,0.00044,0.00044,0.00044
2,189.792,1.18098,1.07833,1.04516,0.58143,0.88776,0.8189,0.53329,1.19648,2.10219,1.00826,0.00088218,0.00088218,0.00088218
3,274.315,1.16343,1.02753,1.04053,0.84495,0.83419,0.91801,0.61732,1.12701,1.27146,1.00929,0.00130614,0.00130614,0.00130614
4,355.708,1.12263,1.02322,1.04202,0.83805,0.83836,0.90705,0.59123,1.10569,1.08235,1.01854,0.00171189,0.00171189,0.00171189
5,437.537,1.13896,0.97589,1.03247,0.84625,0.82123,0.90938,0.60346,1.11524,0.94601,1.04645,0.0018416,0.0018416,0.0018416
6,517.729,1.10768,0.93783,1.04368,0.82217,0.86816,0.91209,0.63005,1.0523,0.95886,1.01622,0.001802,0.001802,0.001802
7,597.286,1.07587,0.89055,1.02697,0.79263,0.86034,0.88763,0.60625,1.07254,0.89855,1.05514,0.0017624,0.0017624,0.0017624
8,676.892,1.01942,0.88013,1.01304,0.80322,0.86652,0.89786,0.63451,1.00465,0.89763,1.01353,0.0017228,0.0017228,0.0017228
9,756.774,1.01633,0.87512,1.01888,0.81957,0.85587,0.91044,0.64456,1.00048,0.86378,1.02157,0.0016832,0.0016832,0.0016832
10,839.344,1.01834,0.84119,1.0159,0.79592,0.88021,0.90241,0.63993,0.99515,0.85436,1.04247,0.0016436,0.0016436,0.0016436
11,921.497,1.0092,0.84213,1.01646,0.82054,0.85587,0.91265,0.64697,0.96897,0.84239,1.01575,0.001604,0.001604,0.001604
12,1002.19,0.98263,0.81314,0.99574,0.81559,0.85922,0.91096,0.6579,0.9736,0.81256,1.04079,0.0015644,0.0015644,0.0015644
