epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.73,1.45344,2.79699,1.16147,0.03341,0.98667,0.50184,0.27793,1.16591,2.70408,0.94518,0.00022,0.00022,0.00022
2,90.1625,1.06956,1.09018,0.9851,0.03214,0.98667,0.61727,0.41909,1.03958,2.58995,0.94743,0.000455446,0.000455446,0.000455446
3,134.749,0.98491,0.94295,0.96917,0.2397,0.83333,0.80873,0.62532,0.88123,2.33678,0.91996,0.00068614,0.00068614,0.00068614
4,182.904,0.94985,0.88376,0.96053,0.94597,0.7003,0.91022,0.67928,0.92835,2.12196,0.91361,0.000912082,0.000912082,0.000912082
5,232.216,0.97652,0.86848,0.96616,0.9424,0.76357,0.92435,0.65808,0.94674,1.67916,0.91015,0.00113327,0.00113327,0.00113327
6,278.297,0.96662,0.87041,0.97255,0.86779,0.87515,0.91528,0.60327,1.09509,1.18497,0.9307,0.00134971,0.00134971,0.00134971
7,319.578,0.95087,0.87744,0.96928,0.91396,0.92058,0.94267,0.67122,0.9927,1.11443,0.91479,0.0015614,0.0015614,0.0015614
8,360.857,0.91534,0.84253,0.95841,0.91455,0.85622,0.93579,0.70053,0.91425,0.96443,0.90666,0.00176833,0.00176833,0.00176833
9,402.157,0.90075,0.82309,0.94226,0.89242,0.87333,0.92685,0.71476,0.82122,0.87059,0.91524,0.0018416,0.0018416,0.0018416
10,443.114,0.91348,0.81416,0.94303,0.91215,0.89984,0.92326,0.70231,0.91679,0.83741,0.93728,0.0018218,0.0018218,0.0018218
11,484.483,0.86954,0.76232,0.93457,0.87441,0.90667,0.91008,0.6917,0.85372,0.81026,0.9044,0.001802,0.001802,0.001802
12,525.391,0.81286,0.73276,0.91355,0.79806,0.81676,0.87308,0.66052,0.84068,0.81996,0.89004,0.0017822,0.0017822,0.0017822
13,566.576,0.83978,0.71153,0.92784,0.81301,0.81163,0.84271,0.65116,0.81794,0.78629,0.89409,0.0017624,0.0017624,0.0017624
14,607.829,0.84636,0.70697,0.9195,0.70161,0.84,0.77391,0.59218,0.82258,0.82346,0.89779,0.0017426,0.0017426,0.0017426
15,651.63,0.809,0.70065,0.91662,0.6822,0.83006,0.80312,0.62798,0.81157,0.84014,0.90959,0.0017228,0.0017228,0.0017228
16,693.669,0.81197,0.7026,0.91496,0.8723,0.91083,0.91856,0.72522,0.80759,0.68556,0.91951,0.001703,0.001703,0.001703
17,734.912,0.79058,0.6627,0.91698,0.88259,0.87333,0.92083,0.71567,0.80924,0.70554,0.89973,0.0016832,0.0016832,0.0016832
18,775.967,0.80859,0.68434,0.9132,0.87405,0.82667,0.91478,0.70116,0.8365,0.69875,0.90973,0.0016634,0.0016634,0.0016634
19,817.429,0.78872,0.65697,0.90605,0.87349,0.87456,0.91083,0.73356,0.74315,0.70773,0.8926,0.0016436,0.0016436,0.0016436
20,858.597,0.78968,0.65819,0.9118,0.9052,0.88,0.91123,0.72347,0.80313,0.6689,0.91593,0.0016238,0.0016238,0.0016238
21,900.004,0.75371,0.62318,0.89644,0.85146,0.89333,0.9094,0.7151,0.81036,0.73863,0.89956,0.001604,0.001604,0.001604
22,941.285,0.7804,0.63094,0.90595,0.82578,0.86667,0.9138,0.72702,0.76847,0.68718,0.89411,0.0015842,0.0015842,0.0015842
23,982.407,0.7579,0.62276,0.89908,0.8984,0.84,0.92027,0.73229,0.79947,0.67367,0.91113,0.0015644,0.0015644,0.0015644
24,1023.69,0.7733,0.59104,0.91186,0.90775,0.91845,0.92305,0.73772,0.79561,0.64681,0.92523,0.0015446,0.0015446,0.0015446
25,1065.54,0.77936,0.62504,0.91152,0.88035,0.82667,0.89825,0.71859,0.79635,0.73815,0.90559,0.0015248,0.0015248,0.0015248
26,1108.82,0.74026,0.5834,0.89825,0.76185,0.86,0.87958,0.69047,0.83762,0.74656,0.91074,0.001505,0.001505,0.001505
27,1152.1,0.75265,0.58766,0.90192,0.88349,0.93333,0.92799,0.75559,0.74993,0.658,0.89909,0.0014852,0.0014852,0.0014852
