epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.4879,1.35277,1.95863,1.10985,0.03329,0.99487,0.76493,0.43008,1.10944,2.38429,0.96306,0.00046,0.00046,0.00046
2,177.25,1.20177,0.90604,1.01463,0.63227,0.70128,0.727,0.49236,1.1255,2.11111,0.97906,0.00087796,0.00087796,0.00087796
3,263.249,1.17072,0.84761,1.01829,0.96063,0.93846,0.97048,0.67258,1.10468,1.07665,0.97231,0.00123256,0.00123256,0.00123256
4,349.041,1.13993,0.7809,1.01148,0.96423,0.94872,0.97914,0.67162,1.11623,0.91769,0.98013,0.0015238,0.0015238,0.0015238
5,434.741,1.12686,0.76309,1.00244,0.9569,0.93941,0.97672,0.67728,1.14409,0.74212,1.03668,0.001472,0.001472,0.001472
6,526.235,1.14011,0.96828,1.023,0.96576,0.94022,0.97917,0.68444,1.11435,0.73944,1.01081,0.00134,0.00134,0.00134
