epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,1396.82,1.04377,0.58917,0.99175,0.96743,0.95198,0.98472,0.70781,1.06356,0.59163,1.04079,0.0017228,0.0017228,0.0017228
16,1497.38,1.03098,0.58856,0.99268,0.9534,0.93846,0.97885,0.70385,0.98482,0.61244,0.99692,0.001703,0.001703,0.001703
17,1588.47,1.0476,0.57457,0.99488,0.94627,0.97051,0.9782,0.71366,1.00644,0.64401,1.01867,0.0016832,0.0016832,0.0016832
18,1682.86,1.05295,0.57368,0.99727,0.95549,0.95513,0.98247,0.72354,1.01741,0.59172,1.01245,0.0016634,0.0016634,0.0016634
19,1781.51,0.99978,0.54942,0.97995,0.96383,0.96026,0.98472,0.72391,1.04303,0.62114,1.01759,0.0016436,0.0016436,0.0016436
20,1883.72,1.02006,0.55637,0.99047,0.96269,0.95936,0.98045,0.71843,1.03673,0.57659,1.01357,0.0016238,0.0016238,0.0016238
21,1981.25,1.01784,0.57737,0.98787,0.97048,0.95769,0.97988,0.7091,1.03059,0.6158,1.00035,0.001604,0.001604,0.001604
22,2069.61,1.04305,0.56138,0.99734,0.95772,0.95825,0.97859,0.71204,1.00935,0.60998,1.03319,0.0015842,0.0015842,0.0015842
23,2159.73,1.04026,0.55476,1.00092,0.96339,0.94476,0.97684,0.71893,0.99128,0.58316,1.02512,0.0015644,0.0015644,0.0015644
24,2247.97,1.02794,0.552,0.98191,0.94549,0.95385,0.97385,0.72143,0.96303,0.60833,1.02508,0.0015446,0.0015446,0.0015446
25,2344.42,1.03276,0.543,0.99357,0.95998,0.95769,0.98221,0.72201,0.99539,0.60718,1.01053,0.0015248,0.0015248,0.0015248
26,2442.7,0.97768,0.52451,0.97789,0.9541,0.96154,0.98169,0.72372,0.99399,0.58782,1.02232,0.001505,0.001505,0.001505
27,2541.04,0.99695,0.54418,0.98346,0.95048,0.95962,0.98186,0.70988,0.98849,0.58889,1.04131,0.0014852,0.0014852,0.0014852
28,2640.24,1.00036,0.53536,0.98647,0.95432,0.9643,0.97947,0.72075,0.9888,0.59192,1.01671,0.0014654,0.0014654,0.0014654
29,2733.02,1.02592,0.54799,0.99614,0.9493,0.96011,0.97392,0.71765,1.00068,0.62055,1.01807,0.0014456,0.0014456,0.0014456
30,2837.4,0.98221,0.53361,0.97679,0.94663,0.96026,0.97346,0.72177,1.03482,0.59733,1.04356,0.0014258,0.0014258,0.0014258
31,2945.67,0.99577,0.52913,0.98571,0.96735,0.95897,0.98198,0.72213,1.01587,0.5639,1.02085,0.001406,0.001406,0.001406
32,3035.2,0.98575,0.53146,0.97998,0.95363,0.9641,0.97687,0.71589,1.02692,0.58411,1.03848,0.0013862,0.0013862,0.0013862
33,3129.1,0.98082,0.51332,0.97478,0.96531,0.96315,0.98193,0.71457,0.99861,0.5626,1.02797,0.0013664,0.0013664,0.0013664
34,3228.1,0.96445,0.51689,0.96912,0.96504,0.96026,0.98566,0.73256,0.9988,0.53578,1.02274,0.0013466,0.0013466,0.0013466
35,3328.85,0.96446,0.49461,0.97102,0.96002,0.96538,0.98466,0.71808,1.02202,0.57617,1.01279,0.0013268,0.0013268,0.0013268
36,3424.73,0.97088,0.50184,0.97752,0.95663,0.96154,0.98232,0.70904,1.06464,0.60445,1.03799,0.001307,0.001307,0.001307
37,3520.63,0.97822,0.50061,0.97846,0.94937,0.96167,0.97712,0.72756,0.97427,0.53396,1.01696,0.0012872,0.0012872,0.0012872
38,3614.46,0.95531,0.50573,0.97253,0.95868,0.95385,0.98136,0.7177,1.03561,0.5822,1.02257,0.0012674,0.0012674,0.0012674
39,3710.02,0.95581,0.50412,0.96981,0.95312,0.96452,0.98143,0.71682,0.98262,0.57039,1.01125,0.0012476,0.0012476,0.0012476
40,3798.15,0.95962,0.50153,0.97354,0.95677,0.96795,0.98133,0.72083,1.04247,0.56107,1.03971,0.0012278,0.0012278,0.0012278
41,3886.15,0.94254,0.49403,0.96486,0.95438,0.96554,0.97883,0.72303,0.97457,0.57704,1.02512,0.001208,0.001208,0.001208
42,3974.05,0.97691,0.49296,0.98096,0.95883,0.95554,0.98001,0.72734,0.96075,0.53384,1.02187,0.0011882,0.0011882,0.0011882
43,4061.88,0.96191,0.49867,0.97531,0.9474,0.95,0.97402,0.71916,0.95934,0.54661,1.01895,0.0011684,0.0011684,0.0011684
44,4149.79,0.95582,0.48197,0.96587,0.94901,0.95438,0.97772,0.72282,0.98737,0.56433,1.01819,0.0011486,0.0011486,0.0011486
45,4237.67,0.9416,0.47006,0.96924,0.95551,0.96366,0.97632,0.72169,0.97451,0.55468,1.00743,0.0011288,0.0011288,0.0011288
46,4325.51,0.94158,0.47557,0.95549,0.96033,0.96214,0.98138,0.72442,0.99576,0.56159,1.00929,0.001109,0.001109,0.001109
47,4413.38,0.92948,0.46892,0.95883,0.96215,0.95897,0.98208,0.72856,0.98705,0.52935,1.01708,0.0010892,0.0010892,0.0010892
48,4501.32,0.93585,0.48212,0.95864,0.95202,0.96658,0.98025,0.72615,0.95322,0.52584,1.00895,0.0010694,0.0010694,0.0010694
49,4589.02,0.9179,0.46073,0.95598,0.94798,0.95793,0.97557,0.72096,0.9858,0.57052,1.00456,0.0010496,0.0010496,0.0010496
50,4676.68,0.91109,0.46329,0.95632,0.96091,0.96026,0.97633,0.72417,0.99331,0.53624,1.03058,0.0010298,0.0010298,0.0010298
51,4764.23,0.92262,0.4696,0.96827,0.9488,0.95,0.9767,0.72826,0.9441,0.53394,1.01418,0.00101,0.00101,0.00101
52,4852.08,0.92766,0.46974,0.95306,0.95632,0.96282,0.98192,0.72077,0.98662,0.52954,1.00847,0.0009902,0.0009902,0.0009902
53,4939.86,0.9307,0.47077,0.96451,0.952,0.95769,0.97227,0.71075,1.01384,0.56474,1.02332,0.0009704,0.0009704,0.0009704
54,5027.4,0.92731,0.46184,0.95946,0.95386,0.95641,0.96999,0.71965,0.99016,0.52286,1.02514,0.0009506,0.0009506,0.0009506
55,5115.04,0.92452,0.45811,0.95943,0.96605,0.96154,0.97573,0.72008,0.95981,0.54605,1.00511,0.0009308,0.0009308,0.0009308
56,5202.82,0.91105,0.45704,0.95915,0.96021,0.95916,0.97847,0.70409,1.03691,0.55871,1.03272,0.000911,0.000911,0.000911
57,5290.45,0.90172,0.45531,0.95417,0.96109,0.95005,0.97832,0.72526,0.98662,0.52979,1.02588,0.0008912,0.0008912,0.0008912
58,5379.17,0.91192,0.45549,0.95806,0.96478,0.95,0.97755,0.72838,0.99281,0.51306,1.0197,0.0008714,0.0008714,0.0008714
59,5467.07,0.92121,0.45807,0.95426,0.96685,0.94487,0.97734,0.7097,0.99841,0.52594,1.02718,0.0008516,0.0008516,0.0008516
60,5554.93,0.89909,0.45484,0.95244,0.95229,0.94677,0.97977,0.72868,0.97137,0.504,1.02537,0.0008318,0.0008318,0.0008318
61,5642.58,0.88692,0.43616,0.94391,0.95656,0.95975,0.97981,0.72627,1.02378,0.51929,1.02447,0.000812,0.000812,0.000812
62,5730.32,0.91298,0.44937,0.95523,0.96913,0.96606,0.98077,0.71549,1.03755,0.53442,1.02412,0.0007922,0.0007922,0.0007922
63,5818.25,0.8981,0.4442,0.95408,0.96755,0.95513,0.98185,0.73268,0.95204,0.5043,1.01868,0.0007724,0.0007724,0.0007724
64,5905.98,0.9043,0.44417,0.95958,0.96269,0.95941,0.97778,0.72685,0.97837,0.52858,1.0178,0.0007526,0.0007526,0.0007526
65,5993.47,0.8826,0.43948,0.94887,0.95772,0.95842,0.98102,0.73181,0.95694,0.50775,1.0173,0.0007328,0.0007328,0.0007328
66,6081.24,0.8691,0.43245,0.94586,0.95937,0.96026,0.98197,0.73385,0.96037,0.50661,1.01856,0.000713,0.000713,0.000713
67,6169.05,0.86726,0.43084,0.94176,0.95739,0.94872,0.97758,0.72037,0.95982,0.52627,1.03601,0.0006932,0.0006932,0.0006932
68,6256.85,0.87404,0.44431,0.94042,0.96129,0.95509,0.98023,0.72668,0.94314,0.51075,1.01019,0.0006734,0.0006734,0.0006734
69,6344.73,0.87592,0.42987,0.94732,0.95792,0.95385,0.9779,0.71767,0.97274,0.52903,1.01577,0.0006536,0.0006536,0.0006536
70,6432.38,0.85707,0.43536,0.93483,0.94705,0.96309,0.97569,0.72227,0.98306,0.51748,1.04282,0.0006338,0.0006338,0.0006338
71,6519.94,0.88637,0.42853,0.94013,0.94673,0.9641,0.97007,0.71107,0.9746,0.554,1.01433,0.000614,0.000614,0.000614
72,6608.02,0.8712,0.41961,0.94491,0.95263,0.96154,0.97664,0.72926,0.94981,0.53404,1.01211,0.0005942,0.0005942,0.0005942
73,6695.57,0.86261,0.42153,0.92968,0.9553,0.95899,0.97527,0.7206,0.98175,0.53194,1.00979,0.0005744,0.0005744,0.0005744
74,6783.21,0.83938,0.41628,0.93255,0.95637,0.95544,0.98093,0.73045,0.97599,0.5115,1.02299,0.0005546,0.0005546,0.0005546
75,6870.97,0.86042,0.42376,0.93787,0.95937,0.96875,0.98079,0.71067,0.99099,0.5267,1.01143,0.0005348,0.0005348,0.0005348
76,6958.5,0.84594,0.4211,0.93333,0.96022,0.95769,0.97754,0.72353,0.98589,0.50962,1.01748,0.000515,0.000515,0.000515
77,7046.95,0.85603,0.41793,0.93427,0.95339,0.95641,0.9781,0.71647,0.99254,0.49729,1.03886,0.0004952,0.0004952,0.0004952
78,7135.08,0.83356,0.40823,0.93136,0.9602,0.95891,0.97568,0.72084,0.97416,0.50692,1.01628,0.0004754,0.0004754,0.0004754
79,7223.08,0.83855,0.41759,0.93229,0.95721,0.96154,0.97713,0.7241,0.97907,0.51152,1.02278,0.0004556,0.0004556,0.0004556
80,7310.74,0.86807,0.41758,0.93702,0.95446,0.95641,0.97764,0.72948,0.96519,0.51355,1.00794,0.0004358,0.0004358,0.0004358
81,7398.68,0.82965,0.41063,0.92531,0.95868,0.95513,0.97793,0.73506,0.97071,0.51123,1.03357,0.000416,0.000416,0.000416
82,7486.38,0.827,0.40749,0.92727,0.96198,0.95385,0.97862,0.72058,1.01269,0.50296,1.03279,0.0003962,0.0003962,0.0003962
83,7574.21,0.83146,0.40467,0.92732,0.95494,0.95897,0.97743,0.72304,0.97602,0.48224,1.03641,0.0003764,0.0003764,0.0003764
84,7661.98,0.83238,0.40347,0.92641,0.95886,0.95769,0.97837,0.70595,1.03916,0.51128,1.04176,0.0003566,0.0003566,0.0003566
85,7749.71,0.80697,0.39335,0.9156,0.95791,0.96282,0.97922,0.72456,0.99431,0.49674,1.04557,0.0003368,0.0003368,0.0003368
86,7837.47,0.82133,0.39753,0.92309,0.95151,0.94487,0.97657,0.69488,1.03873,0.52837,1.03167,0.000317,0.000317,0.000317
87,7925.15,0.80001,0.39573,0.92071,0.96224,0.9474,0.97865,0.71423,0.98579,0.49128,1.04043,0.0002972,0.0002972,0.0002972
88,8013,0.80841,0.39048,0.91443,0.97118,0.95044,0.97888,0.71586,0.98874,0.5073,1.04362,0.0002774,0.0002774,0.0002774
89,8100.82,0.81529,0.39351,0.91583,0.96502,0.95498,0.98059,0.71288,0.99081,0.51304,1.02314,0.0002576,0.0002576,0.0002576
90,8188.82,0.80507,0.38749,0.92548,0.9701,0.95663,0.98164,0.71568,0.99477,0.51742,1.0165,0.0002378,0.0002378,0.0002378
91,8275.79,0.81879,0.40968,0.91733,0.96509,0.95686,0.9801,0.69747,1.05838,0.52939,1.03807,0.000218,0.000218,0.000218
92,8362.22,0.79732,0.38755,0.91189,0.96158,0.9641,0.97875,0.71574,0.99927,0.52807,1.05561,0.0001982,0.0001982,0.0001982
93,8448.72,0.78529,0.37549,0.90492,0.96267,0.95897,0.97626,0.71659,0.99715,0.51053,1.05726,0.0001784,0.0001784,0.0001784
94,8535.24,0.78089,0.36885,0.90874,0.96149,0.96027,0.98042,0.7167,1.01287,0.51684,1.04475,0.0001586,0.0001586,0.0001586
95,8622.54,0.77099,0.36547,0.9058,0.95912,0.96263,0.97885,0.71765,0.9987,0.52392,1.0446,0.0001388,0.0001388,0.0001388
96,8709.45,0.76817,0.36087,0.90489,0.96637,0.95793,0.98082,0.72167,1.01853,0.51566,1.05162,0.000119,0.000119,0.000119
97,8795.89,0.76798,0.3573,0.90258,0.96275,0.96086,0.9821,0.71968,1.02005,0.50828,1.05177,9.92e-05,9.92e-05,9.92e-05
98,8882.46,0.76067,0.35623,0.89939,0.96008,0.95769,0.98038,0.72041,1.00745,0.51555,1.04859,7.94e-05,7.94e-05,7.94e-05
99,8969.16,0.76973,0.35809,0.90528,0.96288,0.95769,0.98021,0.71965,1.01224,0.52622,1.05072,5.96e-05,5.96e-05,5.96e-05
100,9055.76,0.76543,0.3547,0.90338,0.96257,0.956,0.98011,0.7222,1.00384,0.52623,1.05179,3.98e-05,3.98e-05,3.98e-05
