epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.9705,1.35277,1.95863,1.10985,0.03329,0.99487,0.76493,0.43008,1.10944,2.38429,0.96306,0.00046,0.00046,0.00046
2,187.769,1.20565,0.90756,1.01611,0.9873,0.49843,0.85807,0.59962,1.13101,2.0711,0.9784,0.000930694,0.000930694,0.000930694
3,278.582,1.18241,0.86015,1.02355,0.96515,0.92949,0.9738,0.67045,1.12777,0.99609,0.97938,0.00139188,0.00139188,0.00139188
4,370.14,1.14823,0.77926,1.01474,0.96146,0.93846,0.97285,0.66556,1.13397,0.82528,0.99776,0.00184357,0.00184357,0.00184357
5,462.065,1.11805,0.75045,1.00355,0.96004,0.95481,0.98321,0.68577,1.12387,0.73528,1.02728,0.0019208,0.0019208,0.0019208
6,553.917,1.13214,0.7205,1.01124,0.95584,0.94344,0.97459,0.67189,1.14151,0.80195,1.03116,0.001901,0.001901,0.001901
7,654.231,1.10947,0.72345,1.02227,0.96264,0.94744,0.9811,0.71086,1.08936,0.69029,1.02825,0.0018812,0.0018812,0.0018812
8,753.273,1.08293,0.68505,1.00521,0.95482,0.94822,0.97672,0.70608,1.0461,0.67818,1.04081,0.0018614,0.0018614,0.0018614
9,846.909,1.09346,0.67197,1.01094,0.9572,0.94621,0.97949,0.70932,1.06144,0.68192,1.00559,0.0018416,0.0018416,0.0018416
10,934.779,1.08736,0.65836,1.00824,0.96665,0.94872,0.97843,0.71488,1.00675,0.6598,1.01214,0.0018218,0.0018218,0.0018218
11,1023.04,1.07545,0.63401,1.00816,0.95776,0.95128,0.97888,0.69556,1.06763,0.66625,1.04403,0.001802,0.001802,0.001802
12,1112.64,1.04411,0.61908,0.99447,0.96516,0.95887,0.97973,0.71925,1.00668,0.63561,1.0203,0.0017822,0.0017822,0.0017822
13,1201.72,1.03169,0.6036,0.98867,0.95855,0.9488,0.98187,0.72,1.01486,0.62797,1.01936,0.0017624,0.0017624,0.0017624
14,1294.34,1.01332,0.59029,0.98453,0.9628,0.96221,0.98309,0.72537,0.98817,0.61296,1.02157,0.0017426,0.0017426,0.0017426
